,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,0,0,7,3,1.0,1.0,0.0,0.0,1.0,0.7,0.8235294117647058,0.48999999999999994,0.35,0.7,0.5,0.5
1,k_2,0,2,5,3,0.7142857142857143,1.0,0.0,0.2857142857142857,0.7142857142857143,0.5,0.6666666666666666,0.4375,0.3125,0.5,0.35714285714285715,0.35714285714285715
2,k_3,0,1,6,3,0.8571428571428571,1.0,0.0,0.14285714285714285,0.8571428571428571,0.6,0.75,0.4666666666666666,0.3333333333333333,0.6,0.42857142857142855,0.42857142857142855
3,k_4,1,0,6,3,1.0,0.75,0.25,0.0,1.0,0.7,0.8,0.8,0.8333333333333333,0.7,0.625,0.625
4,k_5,0,0,6,4,1.0,1.0,0.0,0.0,1.0,0.6,0.7499999999999999,0.36,0.3,0.6,0.5,0.5
5,k_6,0,0,6,4,1.0,1.0,0.0,0.0,1.0,0.6,0.7499999999999999,0.36,0.3,0.6,0.5,0.5
6,k_7,0,0,6,4,1.0,1.0,0.0,0.0,1.0,0.6,0.7499999999999999,0.36,0.3,0.6,0.5,0.5
7,k_8,1,2,4,3,0.6666666666666666,0.75,0.25,0.3333333333333333,0.6666666666666666,0.5,0.6153846153846153,0.47619047619047616,0.45238095238095233,0.5,0.4583333333333333,0.4583333333333333
8,k_9,1,0,6,3,1.0,0.75,0.25,0.0,1.0,0.7,0.8,0.8,0.8333333333333333,0.7,0.625,0.625
9,k_10,1,0,6,3,1.0,0.75,0.25,0.0,1.0,0.7,0.8,0.8,0.8333333333333333,0.7,0.625,0.625
